loc_rowid,fpl_name,fpl_orbper,fpl_bmasse,fpl_rade,fpl_dens,fst_dist,fst_mass,fst_rad,fst_age
1,11 Com b,326.03000000,6165.60000,12.100,19.10000,93.37,2.70,19.00,
2,11 UMi b,516.21997000,4684.81420,12.300,13.80000,125.72,2.78,29.79,1.560
3,14 And b,185.84000000,1525.50000,12.900,3.90000,75.59,2.20,11.00,4.500
4,14 Her b,1773.40002000,1481.08780,12.900,3.79000,17.94,0.90,0.93,5.240
5,16 Cyg B b,798.50000000,565.73740,13.500,1.26000,21.41,1.08,1.13,7.400
6,18 Del b,993.30000000,3273.50000,12.500,9.21000,76.38,2.30,8.50,1.100
7,1RXS J160929.1-210524 b,,3000.00000,18.647,2.54000,145.00,0.85,1.18,0.005
8,24 Boo b,30.35060000,289.22530,13.900,0.59200,96.25,0.99,10.64,6.920
9,24 Sex b,452.80000000,632.46000,13.400,1.44000,72.21,1.54,4.90,2.700
10,24 Sex c,883.00000000,273.32000,13.900,0.55900,72.21,1.54,4.90,2.700
11,2MASS J01225093-2439505 b,,7786.50000,11.209,30.40000,36.00,0.40,,0.120
12,2MASS J02192210-3925225 b,,4417.83700,16.141,5.77000,39.40,0.11,0.28,0.035
13,2MASS J04414489+2301513 b,,2383.60000,12.600,6.55000,140.00,0.02,,0.001
14,2MASS J12073346-3932539 b,,1271.00000,13.000,3.18000,52.40,0.02,,0.008
15,2MASS J19383260+4603591 b,416.00000000,603.87700,13.400,1.38000,396.36,0.48,0.34,
16,2MASS J21402931+1625183 A b,7336.50000000,6657.48000,10.310,33.40000,25.00,0.08,0.12,
17,2MASS J22362452+4751425 b,,3972.87500,12.300,11.70000,74.00,0.60,0.62,0.120
18,30 Ari B b,335.10001000,4392.41060,12.300,13.00000,44.71,1.93,1.41,0.910
19,4 UMa b,269.30000000,2256.50000,12.700,6.05000,73.58,1.23,18.11,4.604
20,42 Dra b,479.10000000,1233.13000,13.000,3.08000,90.86,0.98,22.03,9.490
21,47 UMa b,1078.00000000,804.08000,13.200,1.92000,13.80,1.03,1.23,7.300
22,47 UMa c,2391.00000000,171.62100,14.200,0.32900,13.80,1.03,1.23,7.300
23,47 UMa d,14002.00000000,521.22000,13.500,1.16000,13.80,1.03,1.23,7.300
24,51 Eri b,14965.00000000,635.66000,13.400,1.45000,29.40,1.75,1.56,0.020
25,51 Peg b,4.23078500,146.20180,14.300,0.27500,15.47,1.12,1.20,4.000
26,55 Cnc b,14.65152000,263.97850,13.900,0.54000,12.59,0.91,0.94,10.200
27,55 Cnc c,44.41750000,54.47380,8.510,0.48600,12.59,0.91,0.94,10.200
28,55 Cnc d,4825.00000000,1232.49300,13.000,3.08000,12.59,0.91,0.94,10.200
29,55 Cnc e,0.73653900,8.08000,1.910,6.40000,12.59,0.91,0.94,10.200
30,55 Cnc f,262.00000000,44.81200,7.590,0.56300,12.59,0.91,0.94,10.200
31,6 Lyn b,874.77400000,702.40430,13.300,1.64000,54.74,1.70,5.20,2.353
32,61 Vir b,4.21500000,5.10000,2.110,2.98000,8.51,0.94,0.96,8.960
33,61 Vir c,38.02100000,18.20000,4.460,1.13000,8.51,0.94,0.96,8.960
34,61 Vir d,123.01000000,22.90000,5.110,0.94300,8.51,0.94,0.96,8.960
35,7 CMa b,796.00000000,781.86180,13.300,1.83000,19.82,1.52,2.30,
36,70 Vir b,116.68840000,2380.45000,12.600,6.54000,17.91,1.14,1.84,7.920
37,75 Cet b,691.90000000,953.49000,13.100,2.33000,83.15,2.49,10.50,
38,8 UMi b,93.40000000,416.35730,13.600,0.91000,159.10,1.44,10.30,1.700
39,81 Cet b,952.70000000,1684.40000,12.800,4.41000,101.53,2.40,11.00,
40,91 Aqr b,181.40000000,1017.00000,13.100,2.49000,44.08,1.40,11.00,3.560
41,AB Pic b,,4290.50000,12.300,12.70000,50.12,0.90,1.00,0.030
42,BD+03 2562 b,481.90000000,2034.11200,12.700,5.46000,2618.00,1.14,32.35,5.200
43,BD+14 4559 b,268.94000000,330.54320,13.800,0.69100,49.42,0.49,0.86,
44,BD+15 2375 b,153.22000000,337.21763,13.800,0.70500,774.00,1.08,8.95,7.410
45,BD+15 2940 b,137.48000000,352.78000,13.700,0.75400,431.61,1.10,14.70,7.100
46,BD+20 2457 b,379.63000000,17668.16970,11.600,62.20000,200.00,10.83,71.02,
47,BD+20 2457 c,621.99000000,3963.17000,12.400,11.40000,200.00,10.83,71.02,
48,BD+20 274 b,578.20000000,1334.88600,13.000,3.34000,1383.85,0.80,17.30,
49,BD+20 594 b,41.68550000,22.24810,2.578,7.89000,180.39,1.67,1.08,3.340
50,BD+48 738 b,392.60000000,289.22530,13.900,0.59200,892.17,0.74,11.00,
51,BD+48 740 b,733.00000000,540.31100,13.500,1.21000,678.94,1.09,10.33,
52,BD+49 828 b,2590.00000000,508.50000,13.500,1.14000,447.59,1.52,7.60,2.340
53,BD-06 1339 b,3.87280000,8.50000,2.850,2.02000,20.28,0.70,0.67,4.400
54,BD-06 1339 c,125.94000000,53.00000,8.380,0.49500,20.28,0.70,0.67,4.400
55,BD-08 2823 b,5.60000000,12.71320,3.610,1.48000,41.38,0.50,0.71,4.500
56,BD-08 2823 c,237.60000000,104.00000,12.500,0.29300,41.38,0.50,0.71,4.500
